id,name,is_real_startup,country,city,sector,founded_year,website,description,employees,crunchbase_id,fiscal_year,currency,revenue,cogs,gross_profit,operating_expenses,ebitda,depreciation,ebit,interest_expense,taxes,net_income,cash,total_assets,total_liabilities,equity,mrr,arr,cac,ltv,churn_rate,customers_count,arpu,burn_rate_monthly,runway_months,gross_margin_pct
11,Anderson Group,False,AU,West Allison,SaaS,2013,https://andersongroup.com,Institution deep much role cut find yet practice just military.,22,anderson-group,2023,USD,247685,88727,158958,45679,113279,14471,98808,2476,4953,93855,4938,229469,151446,78023,20640.42,247685,477.94,1111.13,0.0503,297,69.28,42446.38,0.12,0.6418
12,Wright Inc,False,ZA,Andrewside,Energy,2018,https://wrightinc.com,Open according remain arrive attack all form.,16,wright-inc,2023,USD,2142989,753397,1389592,1166734,222858,6256,216602,21429,42859,173743,176941,1278290,79243,1199047,,2142989,1439.52,1822.01,0.0809,735,242.89,121569.25,1.46,0.6484
13,Young Caldwell and Lewis,False,IN,Lake Selena,HealthTech,2014,https://youngcaldwellandlewis.com,Office drug list imagine behind probably great in tell approach.,12,young-caldwell-and-lewis,2023,USD,980704,442972,537732,484181,53551,0,53551,9807,19614,33937,140034,742682,456765,285917,81725.33,980704,192.41,1286.52,0.008,16345,5.0,21150.52,6.62,0.5483
14,Joyce Garcia and Powell,False,AU,Laurenville,E-commerce,2011,https://joycegarciaandpowell.com,Court movie cell contain leg themselves away.,20,joyce-garcia-and-powell,2023,USD,2432877,466556,1966321,1532948,433373,11317,422056,24328,48657,373399,129073,1421724,457539,964185,,2432877,1440.28,720.14,0.0925,990,204.66,135632.47,0.95,0.8082
15,Garcia Pearson and Fernandez,False,FR,North Sarabury,Energy,2011,https://garciapearsonandfernandez.com,Image loss ten total clearly able.,16,garcia-pearson-and-fernandez,2023,EUR,5682146,2259294,3422852,284107,3138745,137,3138608,56821,113642,3024966,394088,3268989,1475343,1793646,,5682146,992.27,2078.88,0.0889,5564,85.1,44587.01,8.84,0.6024
16,Baker-Bowers,False,CA,Mitchellside,E-commerce,2016,https://baker-bowers.com,Choice father why often my security arm once me.,17,baker-bowers,2023,USD,661471,287880,373591,312954,60637,17601,43036,6614,13229,29807,192803,560169,267213,292956,,661471,20.0,29.97,0.001,2756,20.0,2418.71,79.71,0.5648
17,Moore Yu and Miller,False,AU,North Brooke,SaaS,2022,https://mooreyuandmiller.com,Identify walk now often always bank price.,25,moore-yu-and-miller,2023,USD,1498997,844641,654356,424612,229744,0,229744,14989,29979,199765,144548,1004673,63113,941560,124916.42,1498997,540.67,3194.28,0.0495,1714,72.84,29078.95,4.97,0.4365
18,Mills Donovan and Harris,False,NG,Johnfurt,Fintech,2020,https://millsdonovanandharris.com,Public feel first sell authority leader.,18,mills-donovan-and-harris,2023,USD,2375941,693195,1682746,1117805,564941,51293,513648,23759,47518,466130,18359,1387701,527280,860421,,2375941,683.54,341.77,0.0983,1693,116.91,82931.53,0.22,0.7082
19,Ferrell Jones and Lewis,False,FR,Davidstad,AI/ML,2017,https://ferrelljonesandlewis.com,These hard citizen street region.,19,ferrell-jones-and-lewis,2023,EUR,642473,125316,517157,166158,350999,13446,337553,6424,12849,324704,8685,433402,21670,411732,,642473,1729.04,4031.27,0.0341,2676,20.0,20201.84,0.43,0.8049
20,Riggs Roman and Rice,False,BR,Sarahville,IoT,2019,https://riggsromanandrice.com,Enough threat score choice example decision.,23,riggs-roman-and-rice,2023,USD,140600,55575,85025,121314,-36289,0,-36289,1406,2812,-39101,63199,200714,42952,157762,,140600,175.48,314.47,0.0225,171,68.39,32045.43,1.97,0.6047
21,Harris-Walters,False,KE,Williamview,EdTech,2010,https://harris-walters.com,Begin interest everybody about side.,19,harris-walters,2023,USD,298720,123357,175363,372431,-197068,6683,-203751,2987,5974,-209725,39504,377615,248808,128807,24893.33,298720,218.27,1155.59,0.0338,594,41.9,1000.0,39.5,0.587
22,Whitney Martin and Ramos,False,US,Hoffmanville,Marketplaces,2015,https://whitneymartinandramos.com,War real chance along hard.,22,whitney-martin-and-ramos,2023,USD,2216239,958350,1257889,1036630,221259,13786,207473,22162,44324,163149,99418,1276986,276090,1000896,,2216239,20.0,10.0,0.0555,9234,20.0,77785.33,1.28,0.5676
23,Hernandez Anderson and Parker,False,AU,West Jasonbury,AgriTech,2010,https://hernandezandersonandparker.com,Government nice themselves wind see.,18,hernandez-anderson-and-parker,2023,USD,1215867,282392,933475,170759,762716,0,762716,12158,24317,738399,427844,1074290,367388,706902,,1215867,645.84,2987.48,0.0815,487,207.95,1000.0,427.84,0.7677
24,Hancock and Sons,False,DE,Johnsonmouth,Fintech,2020,https://hancockandsons.com,Soon ten specific environment skin blue the teach.,23,hancock-and-sons,2023,EUR,724813,251866,472947,347425,125522,30553,94969,7248,14496,80473,20057,572566,221066,351500,,724813,1011.58,786.68,0.0069,264,228.52,44763.96,0.45,0.6525
25,Gonzalez Group,False,IN,Kevinbury,Mobility,2019,https://gonzalezgroup.com,Age cover foreign ten whom evidence political.,18,gonzalez-group,2023,USD,109598,37352,72246,33162,39084,0,39084,1095,2191,36893,6627,120589,65938,54651,,109598,1252.18,626.09,0.0277,27,329.48,29098.46,0.23,0.6592
26,Frazier-Anthony,False,GB,Sheilaville,E-commerce,2019,https://frazier-anthony.com,Condition while enter board its rock finish.,24,frazier-anthony,2023,USD,306555,81575,224980,137274,87706,0,87706,3065,6131,81575,90025,281404,200566,80838,,306555,472.06,1494.29,0.0371,171,148.55,35109.15,2.56,0.7339
27,Joyce Wilson and Lam,False,DE,West Bradley,Marketplaces,2016,https://joycewilsonandlam.com,Ability understand Mrs rest score provide hair attorney professional.,16,joyce-wilson-and-lam,2023,EUR,168610,60612,107998,120585,-12587,9749,-22336,1686,3372,-25708,7280,262919,116128,146791,,168610,229.24,830.26,0.1238,702,20.0,27201.94,0.27,0.6405
28,Hanson-Alvarado,False,ZA,Lake Rachelhaven,Marketplaces,2010,https://hanson-alvarado.com,Project for recent never court professor here.,13,hanson-alvarado,2023,USD,606154,210807,395347,229026,166321,11454,154867,6061,12123,142744,13252,368553,47600,320953,,606154,20.0,10.0,0.0529,263,191.39,2203.35,6.01,0.6522
29,Orr Gilbert and Turner,False,KE,West Justinchester,Marketplaces,2013,https://orrgilbertandturner.com,Parent focus kid put memory soldier where save probably exist.,19,orr-gilbert-and-turner,2023,USD,729330,289326,440004,279442,160562,2923,157639,7293,14586,143053,84772,563502,77050,486452,,729330,20.0,24.11,0.1263,1401,43.37,30625.02,2.77,0.6033
30,Schultz Rogers and Cardenas,False,NG,Lake Lance,Cybersecurity,2015,https://schultzrogersandcardenas.com,Challenge animal worker particularly shoulder lay.,31,schultz-rogers-and-cardenas,2023,USD,1328243,325329,1002914,519725,483189,0,483189,13282,26564,456625,40638,766288,60927,705361,,1328243,20.0,10.0,0.0338,3355,32.99,10108.07,4.02,0.7551
31,Johnston Higgins and Cruz,False,GB,Sancheztown,Mobility,2020,https://johnstonhigginsandcruz.com,Sing despite sound receive let.,19,johnston-higgins-and-cruz,2023,USD,558964,168568,390396,486953,-96557,0,-96557,5589,11179,-107736,32214,480660,267935,212725,,558964,174.22,625.62,0.001,510,91.17,47397.86,0.68,0.6984
32,Wright Charles and Bryant,False,IN,Contrerasside,Marketplaces,2015,https://wrightcharlesandbryant.com,Fish sense kind spring throughout interview trade knowledge city technology.,20,wright-charles-and-bryant,2023,USD,647622,218225,429397,282446,146951,10187,136764,6476,12952,123812,43812,465765,192783,272982,,647622,1676.91,7046.56,0.0178,438,123.19,50656.57,0.86,0.663
33,Green-Wright,False,BR,Katiehaven,E-commerce,2009,https://green-wright.com,Phone ever back experience even floor music catch discuss.,16,green-wright,2023,USD,419358,99660,319698,223640,96058,0,96058,4193,8387,87671,647,260248,77123,183125,,419358,454.01,3233.23,0.1378,144,241.52,13657.38,0.05,0.7624
34,Hernandez Lewis and Perry,False,DE,Amychester,SaaS,2018,https://hernandezlewisandperry.com,Deal information toward once receive.,14,hernandez-lewis-and-perry,2023,EUR,2397469,1024786,1372683,1899173,-526490,0,-526490,23974,47949,-574439,238051,1518102,593005,925097,199789.08,2397469,683.17,4473.39,0.0039,3843,51.98,160592.64,1.48,0.5726
35,James Smith and Bell,False,TN,Castanedachester,AgriTech,2010,https://jamessmithandbell.com,Section national owner determine detail job ahead from quickly identify.,23,james-smith-and-bell,2023,USD,654090,220801,433289,330327,102962,0,102962,6540,13081,89881,86154,468678,224565,244113,,654090,868.88,434.44,0.1103,351,155.29,35039.01,2.46,0.6624
36,Pittman and Sons,False,DE,South Brittanytown,IoT,2018,https://pittmanandsons.com,Poor career left anyone here.,18,pittman-and-sons,2023,EUR,174600,110179,64421,30474,33947,37235,-3288,1746,3492,-6780,4435,149978,37078,112900,,174600,349.86,1717.91,0.001,727,20.0,15080.93,0.29,0.369
37,Gibson LLC,False,DE,Ramirezchester,Marketplaces,2023,https://gibsonllc.com,Strong like see appear weight difference attention.,15,gibson-llc,2023,EUR,434349,110696,323653,183834,139819,0,139819,4343,8686,131133,12484,321523,35503,286020,,434349,433.71,1747.49,0.1102,412,87.77,32346.59,0.39,0.7451
38,Williams Johnson and Wright,False,TN,New Elijahberg,Marketplaces,2022,https://williamsjohnsonandwright.com,Prove nor design record short cold parent security boy.,23,williams-johnson-and-wright,2023,USD,400515,113876,286639,57268,229371,52482,176889,4005,8010,168879,14677,288620,203807,84813,,400515,720.18,1030.56,0.0736,256,130.3,18021.3,0.81,0.7157
39,Oconnell Inc,False,GB,West Barbarafurt,AgriTech,2012,https://oconnellinc.com,Walk cup option store drug recent feeling range.,18,oconnell-inc,2023,USD,390755,113845,276910,201231,75679,0,75679,3907,7815,67864,4103,334148,130764,203384,,390755,1105.31,3298.31,0.124,107,302.46,18316.62,0.22,0.7087
40,Hogan PLC,False,DE,West Amandastad,Cybersecurity,2016,https://hoganplc.com,Media game support state black.,21,hogan-plc,2023,EUR,506695,114275,392420,203901,188519,0,188519,5066,10133,178386,6355,445327,29818,415509,,506695,20.0,59.14,0.0191,246,171.45,1000.0,6.36,0.7745
41,Reid-Poole,False,ZA,South Gregory,IoT,2021,https://reid-poole.com,Whole establish space Mrs low itself room environmental system store.,20,reid-poole,2023,USD,701695,322039,379656,314220,65436,14028,51408,7016,14033,37375,79330,483618,224084,259534,,701695,1695.69,8251.27,0.0119,169,345.2,14893.86,5.33,0.5411
42,Ramirez Group,False,KE,Port Steven,Energy,2019,https://ramirezgroup.com,Property from management foot maintain great election evidence other they new.,19,ramirez-group,2023,USD,608732,179555,429177,227252,201925,0,201925,6087,12174,189751,67584,373778,187954,185824,,608732,1105.54,552.77,0.0126,500,101.3,1000.0,67.58,0.705
43,Vaughan Miller and Cortez,False,DE,Petersbury,HealthTech,2024,https://vaughanmillerandcortez.com,Position make society behavior develop reality fill ok list.,21,vaughan-miller-and-cortez,2023,EUR,1406087,321270,1084817,1472833,-388016,0,-388016,14060,28121,-416137,56805,843372,322089,521283,117173.92,1406087,18.8,78.46,0.0253,1806,64.85,146091.72,0.39,0.7715
44,Cooper Barajas and Pierce,False,EG,Jacquelineview,Fintech,2009,https://cooperbarajasandpierce.com,Edge building court build movie several continue.,16,cooper-barajas-and-pierce,2023,USD,1508778,599489,909289,520157,389132,10795,378337,15087,30175,348162,601077,1376077,707371,668706,,1508778,20.0,136.28,0.0776,6286,20.0,49257.43,12.2,0.6027
45,Rodgers LLC,False,FR,Tinaborough,HealthTech,2013,https://rodgersllc.com,Dinner conference add move ever window network.,22,rodgers-llc,2023,EUR,4831229,775206,4056023,712000,3344023,0,3344023,48312,96624,3247399,114436,2622313,946612,1675701,402602.42,4831229,286.08,1238.84,0.0471,27556,14.61,41837.2,2.74,0.8395
46,Raymond Little and Mullins,False,AU,Port Alexanderport,Marketplaces,2021,https://raymondlittleandmullins.com,Long future whole education technology box assume man officer.,24,raymond-little-and-mullins,2023,USD,488209,227461,260748,229709,31039,0,31039,4882,9764,21275,36555,347315,188944,158371,,488209,118.3,254.27,0.0474,218,186.49,55961.28,0.65,0.5341
47,Brown Hernandez and Hart,False,KE,Christopherbury,Fintech,2020,https://brownhernandezandhart.com,Newspaper indicate other peace simply herself.,24,brown-hernandez-and-hart,2023,USD,159135,68602,90533,161410,-70877,0,-70877,1591,3182,-74059,239134,444809,171895,272914,,159135,20.0,94.78,0.1178,69,190.84,21719.53,11.01,0.5689
48,Evans-Chapman,False,TN,Torreston,IoT,2022,https://evans-chapman.com,Whether between several personal enough ball dream necessary choose impact ready.,16,evans-chapman,2023,USD,3248815,443637,2805178,2677059,128119,18087,110032,32488,64976,45056,153657,1911579,566273,1345306,,3248815,914.68,5606.45,0.1102,5733,47.22,236536.75,0.65,0.8634
49,Carter-Hall,False,NG,Jacquelinemouth,AgriTech,2008,https://carter-hall.com,Reach under skin person product.,18,carter-hall,2023,USD,223058,65482,157576,77933,79643,0,79643,2230,4461,75182,6946,302720,163582,139138,,223058,819.16,1494.01,0.0433,45,404.64,27914.35,0.25,0.7064
50,Coleman PLC,False,BR,Lake Edward,Cybersecurity,2011,https://colemanplc.com,Step author coach film see notice eye.,19,coleman-plc,2023,USD,651022,209898,441124,395193,45931,30402,15529,6510,13020,2509,14358,376237,98312,277925,,651022,247.27,896.59,0.001,493,109.92,38476.38,0.37,0.6776
51,Harrison LLC,False,BR,Benderhaven,AI/ML,2016,https://harrisonllc.com,Management ball always it focus economy before while structure offer.,24,harrison-llc,2023,USD,491358,133348,358010,275823,82187,5284,76903,4913,9827,67076,239389,641057,32052,609005,,491358,447.37,1354.57,0.0488,100,408.8,26946.95,8.88,0.7286
52,Key Ltd,False,AU,Barbaraburgh,Marketplaces,2018,https://keyltd.com,Million kind everything young job sport why like impact.,16,key-ltd,2023,USD,614713,212733,401980,193108,208872,0,208872,6147,12294,196578,34187,405620,161016,244604,,614713,20.0,171.84,0.1296,161,318.16,15733.86,2.17,0.6539
53,Santiago-Hodge,False,FR,Robertfort,AgriTech,2021,https://santiago-hodge.com,Production hundred set already because education break.,13,santiago-hodge,2023,EUR,331140,108589,222551,191547,31004,0,31004,3311,6622,24382,68154,339671,127379,212292,,331140,20.0,29.18,0.0188,111,246.66,67389.7,1.01,0.6721
54,Hancock-Bryan,False,GB,Lake Mollymouth,Mobility,2008,https://hancock-bryan.com,Approach million performance material kind appear environment capital.,18,hancock-bryan,2023,USD,1143512,419881,723631,794252,-70621,22239,-92860,11435,22870,-115730,106647,765530,376787,388743,,1143512,111.23,591.59,0.001,621,153.31,78506.38,1.36,0.6328
55,Kim-Wolfe,False,ZA,North Teresabury,Cybersecurity,2016,https://kim-wolfe.com,Financial add impact different success box.,17,kim-wolfe,2023,USD,1475253,294853,1180400,1004657,175743,1301,174442,14752,29505,144937,43734,884505,495147,389358,,1475253,1270.83,6824.89,0.0165,2733,44.98,102715.74,0.43,0.8001
56,Holland and Sons,False,NG,Cantuport,HealthTech,2024,https://hollandandsons.com,Relate indeed lot line lead certain course out second carry.,24,holland-and-sons,2023,USD,578086,222064,356022,265710,90312,0,90312,5780,11561,78751,25598,474242,370405,103837,48173.83,578086,13.14,41.57,0.001,626,76.89,24158.85,1.06,0.6159
57,Hill Group,False,FR,Sarahhaven,Marketplaces,2017,https://hillgroup.com,Star executive fear only your majority chance.,17,hill-group,2023,EUR,161490,67215,94275,153640,-59365,19351,-78716,1614,3229,-81945,6255,127809,58202,69607,,161490,20.0,96.46,0.0042,274,49.09,27035.79,0.23,0.5838
58,Washington Cook and Hines,False,BR,Gibsonmouth,AI/ML,2014,https://washingtoncookandhines.com,Wonder draw him task improve fish.,20,washington-cook-and-hines,2023,USD,271218,84405,186813,199553,-12740,0,-12740,2712,5424,-18164,58097,295077,111964,183113,,271218,1059.53,2914.53,0.0874,308,73.3,46648.85,1.25,0.6888
59,Thornton-Shepherd,False,GB,Mcneilberg,E-commerce,2013,https://thornton-shepherd.com,Who call whole forward beyond suddenly between treat address.,30,thornton-shepherd,2023,USD,185505,62168,123337,26343,96994,7904,89090,1855,3710,85380,12661,260543,103314,157229,,185505,1189.7,2731.14,0.0621,772,20.0,8596.91,1.47,0.6649
60,Ortiz Ltd,False,NG,North Terrance,AI/ML,2008,https://ortizltd.com,Full realize power system system teacher here.,20,ortiz-ltd,2023,USD,665825,108559,557266,232975,324291,14994,309297,6658,13316,295981,56706,410199,20509,389690,,665825,20.0,50.95,0.1032,233,237.3,21806.7,2.6,0.837
61,Sims-Clay,False,KE,Brennanton,E-commerce,2023,https://sims-clay.com,Attention piece TV young section its better plant their kitchen really.,23,sims-clay,2023,USD,2864177,1367544,1496633,963978,532655,17658,514997,28641,57283,457714,31116,1553804,525836,1027968,,2864177,566.15,2005.96,0.001,1574,151.55,58710.37,0.53,0.5225
62,Williams Inc,False,US,Michaelchester,Fintech,2019,https://williamsinc.com,Each include radio conference company participant.,29,williams-inc,2023,USD,3096149,1094173,2001976,1416299,585677,23765,561912,30961,61922,499990,92400,1727786,164461,1563325,,3096149,20.0,169.68,0.054,956,269.68,138291.24,0.67,0.6466
63,Harvey-Allen,False,AU,East Steven,AgriTech,2015,https://harvey-allen.com,Least project together let explain national available.,19,harvey-allen,2023,USD,996506,386781,609725,957242,-347517,14703,-362220,9965,19930,-382150,57617,635143,439972,195171,,996506,1196.69,4203.16,0.049,1124,73.83,92588.24,0.62,0.6119
64,Huerta-Evans,False,US,Vaughnmouth,EdTech,2010,https://huerta-evans.com,Current his low down occur offer yeah.,12,huerta-evans,2023,USD,342661,118933,223728,106634,117094,0,117094,3426,6853,110241,30230,343248,89553,253695,28555.08,342661,673.87,1990.8,0.0174,264,108.14,3250.47,9.3,0.6529
65,Johnson-Greer,False,FR,Hillshire,Cybersecurity,2023,https://johnson-greer.com,Treat seat strategy total simply.,18,johnson-greer,2023,EUR,445563,114894,330669,196639,134030,9684,124346,4455,8911,115435,105015,370797,55741,315056,,445563,1041.49,3695.22,0.0525,1674,22.17,21256.5,4.94,0.7421
66,Lawson LLC,False,FR,Lake James,AI/ML,2012,https://lawsonllc.com,Question return process stuff pick tough position.,23,lawson-llc,2023,EUR,2074930,1009620,1065310,761713,303597,17362,286235,20749,41498,244737,62692,1265386,281487,983899,,2074930,20.0,37.78,0.0181,4766,36.28,87256.41,0.72,0.5134
67,Kramer-Johnson,False,GB,Jessicaland,Marketplaces,2023,https://kramer-johnson.com,Force indeed customer skill theory hand maybe.,19,kramer-johnson,2023,USD,330947,134553,196394,103237,93157,17658,75499,3309,6618,68881,20270,376535,18826,357709,,330947,20.0,52.76,0.001,1378,20.0,7222.63,2.81,0.5934
68,Rivas-Scott,False,NG,Coffeyport,HealthTech,2016,https://rivas-scott.com,Sound life away senior difficult put purpose however.,28,rivas-scott,2023,USD,675728,158205,517523,159908,357615,5911,351704,6757,13514,338190,17976,462372,226077,236295,56310.67,675728,10.0,22.6,0.0662,7438,7.57,20188.37,0.89,0.7659
69,Diaz Gibbs and Smith,False,NG,South Miguelview,IoT,2021,https://diazgibbsandsmith.com,Herself police he push likely people wall foreign particular positive.,18,diaz-gibbs-and-smith,2023,USD,137204,55637,81567,69974,11593,11111,482,1372,2744,-2262,25421,290177,126034,164143,,137204,20.0,72.71,0.0185,258,44.26,9728.22,2.61,0.5945
70,Colon Blankenship and Turner,False,DE,Wilsonton,AI/ML,2014,https://colonblankenshipandturner.com,Fight manage best thought career.,31,colon-blankenship-and-turner,2023,EUR,780229,222343,557886,475723,82163,36346,45817,7802,15604,30213,54979,536752,208377,328375,,780229,20.0,89.85,0.0823,615,105.57,82908.68,0.66,0.715
71,Watson-Avery,False,ZA,Matthewsberg,AgriTech,2020,https://watson-avery.com,Pressure street past voice evidence real describe know door.,24,watson-avery,2023,USD,375488,202498,172990,160024,12966,10580,2386,3754,7509,-5123,34480,358380,138808,219572,,375488,793.43,3158.52,0.0198,938,33.33,8655.52,3.98,0.4607
72,Garcia-Jennings,False,BR,Bruceview,Marketplaces,2019,https://garcia-jennings.com,Why we station begin deep police.,11,garcia-jennings,2023,USD,3689350,1031594,2657756,3422614,-764858,27073,-791931,36893,73787,-865718,1035758,2907516,941431,1966085,,3689350,985.7,5086.35,0.001,15372,20.0,277087.98,3.74,0.7204
73,Williams LLC,False,EG,East Kristin,AI/ML,2022,https://williamsllc.com,Attention share debate democratic thank forget.,19,williams-llc,2023,USD,1613510,755892,857618,1178609,-320991,31210,-352201,16135,32270,-384471,64587,924610,111515,813095,,1613510,20.0,106.54,0.0035,6722,20.0,82611.38,0.78,0.5315
74,Kramer PLC,False,FR,West Micheleberg,EdTech,2015,https://kramerplc.com,Music sometimes body term capital group.,26,kramer-plc,2023,EUR,711684,149747,561937,776457,-214520,0,-214520,7116,14233,-228753,41518,513032,214727,298305,59307.0,711684,370.93,1815.86,0.0493,868,68.27,91287.8,0.45,0.7896
75,Chapman Inc,False,FR,West Brian,E-commerce,2008,https://chapmaninc.com,Moment second live sing message board mean war analysis.,14,chapman-inc,2023,EUR,1074127,467331,606796,459260,147536,33802,113734,10741,21482,92252,27306,668470,474739,193731,,1074127,28.49,14.24,0.1077,2875,31.13,9203.14,2.97,0.5649
76,Boyd Ellis and Maynard,False,KE,South Melaniechester,AI/ML,2015,https://boydellisandmaynard.com,Make travel available ball part.,19,boyd-ellis-and-maynard,2023,USD,5277403,2055123,3222280,2279464,942816,23036,919780,52774,105548,814232,944007,3755468,1593919,2161549,,5277403,380.66,707.26,0.0368,2792,157.46,181889.54,5.19,0.6106
77,Martinez PLC,False,KE,Oscarhaven,EdTech,2008,https://martinezplc.com,Law painting between reduce table prepare shoulder.,20,martinez-plc,2023,USD,641535,361694,279841,148143,131698,5753,125945,6415,12830,113115,24506,458028,152419,305609,53461.25,641535,10.0,58.39,0.0466,10692,5.0,14380.53,1.7,0.4362
78,Glenn Jordan and Beasley,False,FR,Morganmouth,Cybersecurity,2009,https://glennjordanandbeasley.com,Indeed believe interview professor hear check type attack.,30,glenn-jordan-and-beasley,2023,EUR,859573,322570,537003,575977,-38974,34517,-73491,8595,17191,-90682,197233,660339,323331,337008,,859573,1116.15,4766.34,0.1025,486,147.22,37293.38,5.29,0.6247
79,Davis Inc,False,DE,Lisaside,Fintech,2009,https://davisinc.com,Only no form business government.,21,davis-inc,2023,EUR,7768338,2076457,5691881,6867140,-1175259,8958,-1184217,77683,155366,-1339583,202484,4165801,1054875,3110926,,7768338,1243.49,7887.51,0.0398,32368,20.0,568540.54,0.36,0.7327
80,Pugh Henderson and Moon,False,CA,West Carolinestad,Fintech,2024,https://pughhendersonandmoon.com,Official defense prevent difference board.,9,pugh-henderson-and-moon,2023,USD,3067338,1259813,1807525,153366,1654159,0,1654159,30673,61346,1592813,151302,1693917,422715,1271202,,3067338,1272.84,3536.63,0.0966,2038,125.39,30243.67,5.0,0.5893
81,Richardson Farmer and Andrews,False,DE,Bruceside,AgriTech,2023,https://richardsonfarmerandandrews.com,Participant price really ahead event.,19,richardson-farmer-and-andrews,2023,EUR,73564,43418,30146,31165,-1019,40616,-41635,735,1471,-43106,1953,56513,13305,43208,,73564,20.0,33.1,0.001,306,20.0,1000.0,1.95,0.4098
82,Dorsey-Bell,False,DE,Port Douglas,AI/ML,2012,https://dorsey-bell.com,Attorney scientist will begin most heavy law church.,24,dorsey-bell,2023,EUR,1576079,865572,710507,1211864,-501357,9612,-510969,15760,31521,-542490,7708,822663,283727,538936,,1576079,834.88,1885.8,0.0886,545,240.73,44017.81,0.18,0.4508
83,Griffith-Frank,False,ZA,North Ericton,IoT,2023,https://griffith-frank.com,Evening product magazine kind event.,18,griffith-frank,2023,USD,432997,93371,339626,54700,284926,28216,256710,4329,8659,248051,13562,373720,156701,217019,,432997,20.0,53.98,0.0998,1804,20.0,1000.0,13.56,0.7844
84,Wilson Jordan and Campbell,False,DE,Roseport,Mobility,2021,https://wilsonjordanandcampbell.com,Determine worker area daughter war.,22,wilson-jordan-and-campbell,2023,EUR,172567,105743,66824,23299,43525,0,43525,1725,3451,40074,2203,124432,64631,59801,,172567,1371.61,3869.25,0.0681,58,246.7,30974.77,0.07,0.3872
